Date,Cases
2022-07-08,909
2022-07-09,929
2022-07-10,942
2022-07-11,968
2022-07-12,983
2022-07-13,1009
2022-07-14,1025
2022-07-15,1056
2022-07-16,1046
2022-07-17,1038
2022-07-18,1023
2022-07-19,998
2022-07-20,976
2022-07-21,985
2022-07-22,965
2022-07-23,946
2022-07-24,927
2022-07-25,931
2022-07-26,947
2022-07-27,939
2022-07-28,913
2022-07-29,902
2022-07-30,891
2022-07-31,888
2022-08-01,858
2022-08-02,894
2022-08-03,887
2022-08-04,863
2022-08-05,852
2022-08-06,833
2022-08-07,808
2022-08-08,764
2022-08-09,715
2022-08-10,828
2022-08-11,844
2022-08-12,810
2022-08-13,823
2022-08-14,824
2022-08-15,853
2022-08-16,823
2022-08-17,709
2022-08-18,696
2022-08-19,704
2022-08-20,673
2022-08-21,670
2022-08-22,663
2022-08-23,662
2022-08-24,658
2022-08-25,660
2022-08-26,677
2022-08-27,682
2022-08-28,679
2022-08-29,642
2022-08-30,717
2022-08-31,716
2022-09-01,721
2022-09-02,729
2022-09-03,743
2022-09-04,729
2022-09-05,769
2022-09-06,677
2022-09-07,650
2022-09-08,588
2022-09-09,561
2022-09-10,532
2022-09-11,520
2022-09-12,500
2022-09-13,503
2022-09-14,485
2022-09-15,468
2022-09-16,423
2022-09-17,420
2022-09-18,397
2022-09-19,377
2022-09-20,355
2022-09-21,345
2022-09-22,344
2022-09-23,326
2022-09-24,279
2022-09-25,263
2022-09-26,252
2022-09-27,242
2022-09-28,233
2022-09-29,223
2022-09-30,205
2022-10-01,194
2022-10-02,187
2022-10-03,179
2022-10-04,175
2022-10-05,164
